DateStamp (yyyydddhhmmssmm),Latitude (degrees),Flash Longitude (degrees),Flash Strength (Total Mj)
20211400222000,28.3257,-51.9877,67
20211400222000,31.1154,-53.6068,100
20211400222000,30.4453,-52.653,167
20211400222000,28.3221,-51.9771,26
20211400222000,28.33,-51.9702,199
20211400222000,28.3175,-51.9856,7
20211400222000,28.3221,-52.0262,115
20211400222200,28.3248,-51.9644,216
20211400222200,28.3178,-51.9851,13
20211400222200,28.393,-52.0388,145
20211400222200,28.3221,-51.9787,77
20211400222200,30.8609,-51.9111,84
20211400222200,28.3216,-51.9803,60
20211400222200,28.3186,-51.9851,9
20211400222200,28.32,-51.9639,137
20211400222200,31.1223,-53.6171,131
20211400222200,28.3182,-51.9861,7
20211400222200,28.3241,-51.9787,28
20211400222200,28.3185,-51.9862,11
20211400222400,28.3225,-51.9364,128
20211400222400,30.4386,-52.6382,9
20211400222400,28.3426,-52.0087,26
20211400222400,30.6956,-51.9844,251
20211400222400,28.3369,-51.9733,49
20211400222400,28.3175,-51.986,7
20211400222400,28.3231,-51.9449,189
20211400223000,28.4195,-51.9694,12
20211400223000,28.3217,-51.9781,93
20211400223000,28.3285,-51.9437,28
20211400223000,28.319,-51.9871,48
20211400223000,31.1914,-53.5549,3427
20211400223000,28.3431,-51.9586,662
20211400223000,28.3181,-51.9754,18
20211400223000,28.3192,-51.9497,32
20211400223000,28.3155,-52.0296,15
20211400223200,28.3637,-51.9677,33
20211400223200,28.3201,-51.951,214
20211400223200,30.8592,-51.911,64
20211400223200,28.3126,-51.9581,41
20211400223200,28.3172,-52.006,11
20211400223200,28.3385,-51.9796,14
20211400223200,35.5394,-56.1786,5382
20211400223200,35.5149,-56.2839,660
20211400223200,28.3239,-51.9412,437
20211400223200,30.4544,-52.6485,20
20211400223200,28.3735,-52.0068,50
20211400223400,31.1097,-53.6261,132
20211400223400,28.3267,-51.9228,239
20211400223400,28.3183,-51.9726,15
20211400223400,28.3202,-51.9601,177
20211400223400,28.3238,-51.9905,143
20211400223400,31.1042,-53.6281,8
20211400224000,28.3412,-51.9646,717
20211400224000,28.3185,-51.9663,10
20211400224000,28.3178,-51.9851,6
20211400224000,28.4348,-51.9474,64
20211400224000,28.3346,-51.9433,49
20211400224000,30.4706,-52.6282,6
20211400224000,28.3178,-51.9853,11
20211400224000,28.3253,-51.9631,44
20211400224000,28.3107,-51.9502,17
20211400224200,28.3167,-51.999,11
20211400224200,28.3281,-51.9388,146
20211400224200,31.123,-53.612,305
20211400224200,28.343,-51.9319,422
20211400224200,28.2959,-51.9656,28
20211400224200,28.316,-51.9452,79
